nome_campus;sigla_universidade;tipo;ano_criacao_campus;codigo_municipio;nome_municipio
CEFET/MG - Araxá;CEFET/MG;instituto federal;2008;3104007;Araxá
CEFET/MG - Belo Horizonte;CEFET/MG;instituto federal;2008;3106200;Belo Horizonte
CEFET/MG - Contagem;CEFET/MG;instituto federal;2023;3118601;Contagem
CEFET/MG - Curvelo;CEFET/MG;instituto federal;2013;3120904;Curvelo
CEFET/MG - Divinópolis;CEFET/MG;instituto federal;2008;3122306;Divinópolis
CEFET/MG - Leopoldina;CEFET/MG;instituto federal;2008;3138401;Leopoldina
CEFET/MG - Nepomuceno;CEFET/MG;instituto federal;2015;3144607;Nepomuceno
CEFET/MG - Timóteo;CEFET/MG;instituto federal;2009;3168705;Timóteo
CEFET/MG - Varginha;CEFET/MG;instituto federal;2016;3170701;Varginha
CEFET/RJ - Angra dos Reis;CEFET/RJ;instituto federal;2014;3300100;Angra dos Reis
CEFET/RJ - Itaguaí;CEFET/RJ;instituto federal;2010;3302007;Itaguaí
CEFET/RJ - Nova Friburgo;CEFET/RJ;instituto federal;2008;3303401;Nova Friburgo
CEFET/RJ - Nova Iguaçu;CEFET/RJ;instituto federal;2008;3303500;Nova Iguaçu
CEFET/RJ - Petrópolis;CEFET/RJ;instituto federal;2008;3303906;Petrópolis
CEFET/RJ - Rio de Janeiro;CEFET/RJ;instituto federal;2008;3304557;Rio de Janeiro
CEFET/RJ - Valença;CEFET/RJ;instituto federal;2014;3306107;Valença
CP II - Rio de Janeiro;CP II;instituto federal;2020;3304557;Rio de Janeiro
FURG - Rio Grande;FURG;universidade;2008;4315602;Rio Grande
FURG - Santa Vitória do Palmar;FURG;universidade;2010;4317301;Santa Vitória do Palmar
FURG - Santo Antônio da Patrulha;FURG;universidade;2009;4317608;Santo Antônio da Patrulha
FURG - São Lourenço do Sul;FURG;universidade;2010;4318804;São Lourenço do Sul
IF Catarinense - Abelardo Luz;IF Catarinense;instituto federal;2018;4200101;Abelardo Luz
IF Catarinense - Araquari;IF Catarinense;instituto federal;2010;4201307;Araquari
IF Catarinense - Blumenau;IF Catarinense;instituto federal;2013;4202404;Blumenau
IF Catarinense - Brusque;IF Catarinense;instituto federal;2017;4202909;Brusque
IF Catarinense - Camboriú;IF Catarinense;instituto federal;2010;4203204;Camboriú
IF Catarinense - Concórdia;IF Catarinense;instituto federal;2008;4204301;Concórdia
IF Catarinense - Fraiburgo;IF Catarinense;instituto federal;2018;4205506;Fraiburgo
IF Catarinense - Ibirama;IF Catarinense;instituto federal;2014;4206900;Ibirama
IF Catarinense - Luzerna;IF Catarinense;instituto federal;2011;4210035;Luzerna
IF Catarinense - Rio do Sul;IF Catarinense;instituto federal;2008;4214805;Rio do Sul
IF Catarinense - Santa Rosa do Sul;IF Catarinense;instituto federal;2010;4215653;Santa Rosa do Sul
IF Catarinense - Sombrio;IF Catarinense;instituto federal;2013;4217709;Sombrio
IF Catarinense - São Bento do Sul;IF Catarinense;instituto federal;2017;4215802;São Bento do Sul
IF Catarinense - São Francisco do Sul;IF Catarinense;instituto federal;2012;4216206;São Francisco do Sul
IF Catarinense - Videira;IF Catarinense;instituto federal;2011;4219309;Videira
IF Fluminense - Bom Jesus do Itabapoana;IF Fluminense;instituto federal;2010;3300605;Bom Jesus do Itabapoana
IF Fluminense - Cabo Frio;IF Fluminense;instituto federal;2009;3300704;Cabo Frio
IF Fluminense - Campos dos Goytacazes;IF Fluminense;instituto federal;2008;3301009;Campos dos Goytacazes
IF Fluminense - Itaperuna;IF Fluminense;instituto federal;2013;3302205;Itaperuna
IF Fluminense - Macaé;IF Fluminense;instituto federal;2008;3302403;Macaé
IF Fluminense - Santo Antônio de Pádua;IF Fluminense;instituto federal;2023;3304706;Santo Antônio de Pádua
IF Goiano - Campos Belos;IF Goiano;instituto federal;2019;5204904;Campos Belos
IF Goiano - Catalão;IF Goiano;instituto federal;2019;5205109;Catalão
IF Goiano - Ceres;IF Goiano;instituto federal;2009;5205406;Ceres
IF Goiano - Cristalina;IF Goiano;instituto federal;2018;5206206;Cristalina
IF Goiano - Goiânia;IF Goiano;instituto federal;2008;5208707;Goiânia
IF Goiano - Hidrolândia;IF Goiano;instituto federal;2019;5209705;Hidrolândia
IF Goiano - Ipameri;IF Goiano;instituto federal;2017;5210109;Ipameri
IF Goiano - Iporá;IF Goiano;instituto federal;2011;5210208;Iporá
IF Goiano - Morrinhos;IF Goiano;instituto federal;2009;5213806;Morrinhos
IF Goiano - Posse;IF Goiano;instituto federal;2018;5218300;Posse
IF Goiano - Rio Verde;IF Goiano;instituto federal;2008;5218805;Rio Verde
IF Goiano - Trindade;IF Goiano;instituto federal;2018;5221403;Trindade
IF Goiano - Urutaí;IF Goiano;instituto federal;2008;5221809;Urutaí
IF SERTÃO-PE - Floresta;IF SERTÃO-PE;instituto federal;2009;2605707;Floresta
IF SERTÃO-PE - Ouricuri;IF SERTÃO-PE;instituto federal;2010;2609907;Ouricuri
IF SERTÃO-PE - Petrolina;IF SERTÃO-PE;instituto federal;2008;2611101;Petrolina
IF SERTÃO-PE - Salgueiro;IF SERTÃO-PE;instituto federal;2011;2612208;Salgueiro
IF SERTÃO-PE - Santa Maria da Boa Vista;IF SERTÃO-PE;instituto federal;2019;2612604;Santa Maria da Boa Vista
IF SERTÃO-PE - Serra Talhada;IF SERTÃO-PE;instituto federal;2017;2613909;Serra Talhada
IF SUL DE MINAS - Carmo de Minas;IF SUL DE MINAS;instituto federal;2020;3114105;Carmo de Minas
IF SUL DE MINAS - Inconfidentes;IF SUL DE MINAS;instituto federal;2008;3130606;Inconfidentes
IF SUL DE MINAS - Machado;IF SUL DE MINAS;instituto federal;2008;3139003;Machado
IF SUL DE MINAS - Muzambinho;IF SUL DE MINAS;instituto federal;2008;3144102;Muzambinho
IF SUL DE MINAS - Passos;IF SUL DE MINAS;instituto federal;2015;3147907;Passos
IF SUL DE MINAS - Pouso Alegre;IF SUL DE MINAS;instituto federal;2014;3152501;Pouso Alegre
IF SUL DE MINAS - Poços de Caldas;IF SUL DE MINAS;instituto federal;2014;3151800;Poços de Caldas
IFAC - Cruzeiro do Sul;IFAC;instituto federal;2011;1200203;Cruzeiro do Sul
IFAC - Rio Branco;IFAC;instituto federal;2011;1200401;Rio Branco
IFAC - Sena Madureira;IFAC;instituto federal;2011;1200500;Sena Madureira
IFAC - Tarauacá;IFAC;instituto federal;2019;1200609;Tarauacá
IFAC - Xapuri;IFAC;instituto federal;2011;1200708;Xapuri
IFAL - Arapiraca;IFAL;instituto federal;2019;2700300;Arapiraca
IFAL - Maceió;IFAL;instituto federal;2008;2704302;Maceió
IFAL - Maragogi;IFAL;instituto federal;2023;2704500;Maragogi
IFAL - Marechal Deodoro;IFAL;instituto federal;2008;2704708;Marechal Deodoro
IFAL - Palmeira dos Índios;IFAL;instituto federal;2008;2706307;Palmeira dos Índios
IFAL - Penedo;IFAL;instituto federal;2022;2706703;Penedo
IFAL - Piranhas;IFAL;instituto federal;2016;2707107;Piranhas
IFAL - Satuba;IFAL;instituto federal;2008;2708907;Satuba
IFAM - Coari;IFAM;instituto federal;2023;1301209;Coari
IFAM - Itacoatiara;IFAM;instituto federal;2021;1301902;Itacoatiara
IFAM - Manaus;IFAM;instituto federal;2008;1302603;Manaus
IFAM - Maués;IFAM;instituto federal;2023;1302900;Maués
IFAM - Parintins;IFAM;instituto federal;2019;1303403;Parintins
IFAM - Presidente Figueiredo;IFAM;instituto federal;2019;1303536;Presidente Figueiredo
IFAP - Laranjal do Jari;IFAP;instituto federal;2014;1600279;Laranjal do Jari
IFAP - Macapá;IFAP;instituto federal;2011;1600303;Macapá
IFAP - Oiapoque;IFAP;instituto federal;2022;1600501;Oiapoque
IFAP - Porto Grande;IFAP;instituto federal;2018;1600535;Porto Grande
IFAP - Santana;IFAP;instituto federal;2017;1600600;Santana
IFB - Brasília;IFB;instituto federal;2010;5300108;Brasília
IFBA - Barreiras;IFBA;instituto federal;2008;2903201;Barreiras
IFBA - Brumado;IFBA;instituto federal;2018;2904605;Brumado
IFBA - Camaçari;IFBA;instituto federal;2012;2905701;Camaçari
IFBA - Eunápolis;IFBA;instituto federal;2008;2910727;Eunápolis
IFBA - Feira de Santana;IFBA;instituto federal;2017;2910800;Feira de Santana
IFBA - Irecê;IFBA;instituto federal;2015;2914604;Irecê
IFBA - Jacobina;IFBA;instituto federal;2015;2917508;Jacobina
IFBA - Jequié;IFBA;instituto federal;2019;2918001;Jequié
IFBA - Lauro de Freitas;IFBA;instituto federal;2018;2919207;Lauro de Freitas
IFBA - Paulo Afonso;IFBA;instituto federal;2012;2924009;Paulo Afonso
IFBA - Porto Seguro;IFBA;instituto federal;2010;2925303;Porto Seguro
IFBA - Salvador;IFBA;instituto federal;2008;2927408;Salvador
IFBA - Santo Amaro;IFBA;instituto federal;2010;2928604;Santo Amaro
IFBA - Santo Antônio de Jesus;IFBA;instituto federal;2018;2928703;Santo Antônio de Jesus
IFBA - Simões Filho;IFBA;instituto federal;2011;2930709;Simões Filho
IFBA - Valença;IFBA;instituto federal;2010;2932903;Valença
IFBA - Vitória da Conquista;IFBA;instituto federal;2008;2933307;Vitória da Conquista
IFBAIANO - Bom Jesus da Lapa;IFBAIANO;instituto federal;2015;2903904;Bom Jesus da Lapa
